layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_yang_refusal,percentile_yang_refusal,rank_zhao_topk,percentile_zhao_topk,rank_zhao_relative_epsilon,percentile_zhao_relative_epsilon,rank_wang,percentile_wang,rank_wang_robust,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
30,1801,16677,0.03635087443951076,1097,0.002389095609600851,328,0.0007128049857112028,2694,0.005870286931254646,1087,0.0023672972919950037,3512,0.007653389311412945,1628,0.0035465862744713363,0.008412904977708106,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
12,10867,297,0.0006452302011330766,2624,0.005717698708013716,3271,0.007128049857112028,17319,0.03775032642980615,2606,0.005678461736323191,533,0.00115967049663107,858,0.0018681158188211034,0.008563936178262906,6,siren;yang_harmfulness;yang_refusal;zhao_relative_epsilon;wang;wang_robust
31,2754,14709,0.03206096553468003,2048,0.004462115613916918,681,0.0014822855971976083,940,0.00204686202318905,7775,0.016946012106785598,1120,0.0024392317400942997,278,0.0006038133976819669,0.00857732657336364,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,3166,2812,0.006127507079003642,201,0.0004359663521169436,129,0.0002790184653548439,1583,0.003448493845245024,22869,0.04984839270105133,57,0.00012207057859274422,19,3.9236971690524926e-05,0.008614383713293578,6,siren;yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
29,6435,11090,0.024172154393123937,805,0.0017525847355101133,1589,0.003461572835808532,7523,0.01639669450311825,4265,0.009294802627133237,1498,0.0032632081455953228,968,0.0021078973124854226,0.008635559221824974,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
25,13410,4691,0.010223410957142328,13083,0.028516559091969283,2485,0.005414702093292439,4395,0.00957818075600925,2585,0.0056326852693509115,176,0.00038147055810232566,343,0.0007455024621199736,0.008641787312569501,6,siren;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,5860,10839,0.023625016621217174,3258,0.007099712044224426,2807,0.006116607920200719,5743,0.012516593969277451,2564,0.005586908802378632,1773,0.0038626618797561203,952,0.0020730200043160667,0.008697217320195797,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,8053,3176,0.00692096583985648,126,0.00027247897007308977,419,0.0009111696759244121,1624,0.0035378669474289974,22359,0.04873667850315313,183,0.0003967293804264187,53,0.00011335125155040534,0.008698462938344705,6,siren;yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
31,2305,15302,0.03335360576870677,41,8.719327042338872e-05,17,3.487730816935549e-05,1568,0.0034157963688362532,10165,0.022155810014583076,720,0.0015672990358604124,200,0.0004337865203563589,0.008721195469562232,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
30,2792,12787,0.027871328890836204,27,5.667562577520267e-05,153,0.00033133442760887715,296,0.0006430503693724918,99,0.00021362351253730236,10495,0.02287515449557603,4402,0.009593439578333344,0.008797800985719922,5,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang_robust
27,11265,597,0.001299179729308492,10175,0.02217760833218892,6347,0.013833212352670621,5309,0.011570546985183684,4649,0.010131858023197769,589,0.0012817410752238142,915,0.0019923662291744322,0.00889807324670682,6,siren;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,8656,19840,0.043245682298240225,1062,0.002312801497980386,1466,0.003193453529256612,462,0.001004902441629555,396,0.0008610335454309636,3554,0.007744942245357504,2005,0.004368382848211775,0.008961599772301002,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,5099,15562,0.033920362026458796,2577,0.005615246615266234,315,0.0006844671728236015,813,0.001770023389594791,7867,0.017146556628759392,1503,0.0032741073043982467,319,0.0006931864998659403,0.009014849948166715,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
