variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,8652,12151,223,187,1594,0.026484955891104323,0.0004839226508498074,0.00040544870746875755,0.0034724719946114557,0.007711699811008586,2,yang_harmfulness;wang_robust,91
rank_consensus,29,9571,30,6628,39,7582,6.321512105695683e-05,0.014445745077394927,8.283360690221929e-05,0.016525304576992746,0.007779274595586712,2,siren;wang_robust,92
rank_consensus,31,9114,12777,173,132,1394,0.027849530573230356,0.0003749310628205715,0.0002855579606365981,0.003036505642494512,0.007886631309795509,2,yang_harmfulness;wang_robust,93
rank_consensus,31,12529,12958,134,286,1117,0.028244080121896192,0.0002899176241577675,0.0006212520517666447,0.0024326922448125454,0.007896985510658289,2,yang_harmfulness;wang_robust,94
rank_consensus,31,1129,11798,913,27,1887,0.02571547527961792,0.001988006565653263,5.667562577520267e-05,0.004111162700462778,0.00796783004287729,1,wang_robust,95
rank_consensus,16,6521,12052,2582,67,11,0.026269152546806437,0.005626145774069158,0.0001438688961985914,2.179831760584718e-05,0.008015241383670008,2,wang_robust;zhao_topk,96
rank_consensus,31,8937,13038,12,33,1714,0.028418466662742968,2.39781493664319e-05,6.975461633871098e-05,0.0037340518058816222,0.008061562808582433,2,yang_harmfulness;wang_robust,97
rank_consensus,30,5905,13745,312,723,194,0.029959607717476366,0.0006779276775418473,0.0015738385311421664,0.0004207075297928506,0.008158020363988307,2,yang_harmfulness;zhao_topk,98
rank_consensus,31,6432,14750,14,84,156,0.032150338636864007,2.8337812887601334e-05,0.0001809260361285316,0.0003378739228906313,0.008174369102192693,3,yang_harmfulness;wang_robust;zhao_topk,99
rank_consensus,29,14023,2553,10430,411,1686,0.0055629306530122005,0.022733465431138026,0.0008937310218397344,0.00367301651658525,0.008215785905643803,1,wang_robust,100
rank_consensus,31,3268,12230,1341,428,1285,0.026657162600190517,0.002920974559183522,0.0009307881617696746,0.002798903980590778,0.008326957325433624,1,wang_robust,101
rank_consensus,29,4918,8769,281,3023,3329,0.01911276487680681,0.0006103528929637211,0.006587451580487018,0.0072544800992259415,0.008391262362370873,1,yang_harmfulness,102
rank_consensus,27,5147,14494,708,139,173,0.03159230170615432,0.0015411410547333958,0.0003008167829606911,0.0003749310628205715,0.008452297651667244,2,wang_robust;zhao_topk,103
rank_consensus,12,9795,10861,3643,739,347,0.023672972919950037,0.007938947272049543,0.001608715839311522,0.0007542217891623124,0.008493714455118352,1,zhao_topk,104
rank_consensus,20,8083,6943,8417,212,93,0.015132392081979112,0.018345464097080988,0.0004599445014833755,0.00020054452197379406,0.008534586300629317,2,wang_robust;zhao_topk,105
rank_consensus,31,3769,2684,35,10502,2618,0.005848488613648798,7.411427985988042e-05,0.022890413317900125,0.005704619717450207,0.008629408982214752,1,yang_harmfulness,106
rank_consensus,31,437,11357,661,169,3791,0.02475416947320006,0.001438688961985914,0.00036621173577823263,0.008261562372616082,0.008705158135895072,1,wang_robust,107
rank_consensus,31,7416,13290,30,155,2592,0.028967784266410317,6.321512105695683e-05,0.0003356940911300466,0.005647944091675005,0.008753659392568081,2,yang_harmfulness;wang_robust,108
rank_consensus,31,8732,8763,384,1092,5848,0.0190996858862433,0.000834875564303947,0.0023781964507979276,0.012745476304138846,0.008764558551371005,1,yang_harmfulness,109
rank_consensus,31,1209,15843,257,129,103,0.0345328947511831,0.0005580369307096878,0.0002790184653548439,0.00022234283957964124,0.00889807324670682,3,yang_harmfulness;wang_robust;zhao_topk,110
rank_consensus,31,2223,10909,713,115,4597,0.023777604844458105,0.0015520402135363192,0.0002485008207066579,0.010018506771647364,0.008899163162587112,1,wang_robust,111
rank_consensus,31,12004,15091,5,14,1494,0.032893661267223394,8.719327042338873e-06,2.8337812887601334e-05,0.003254488818552984,0.00904630180642658,2,yang_harmfulness;wang_robust,112
rank_consensus,29,1251,15796,357,295,205,0.034430442658435624,0.0007760201067681596,0.0006408705376119071,0.00044468567915928247,0.009073004745493744,3,yang_harmfulness;wang_robust;zhao_topk,113
rank_consensus,31,7598,7700,345,1339,7287,0.016782524724741746,0.000749862125641143,0.002916614895662353,0.015882254207620256,0.009082813988416375,1,yang_harmfulness,114
rank_consensus,30,7872,14978,221,221,1297,0.03264734027827732,0.00047956298732863796,0.00047956298732863796,0.0028250619617177946,0.009107882053663098,2,yang_harmfulness;wang_robust,115
rank_consensus,31,9047,14143,366,31,2186,0.030827180758189084,0.0007956385926134221,6.539495281754155e-05,0.004762932396877609,0.009112786675124416,2,yang_harmfulness;wang_robust,116
rank_consensus,29,7425,337,11388,46,5235,0.0007324234715564653,0.024821744257778184,9.809242922631231e-05,0.011409239434900414,0.009265374898365344,2,siren;wang_robust,117
rank_consensus,31,1973,660,3441,288,12626,0.0014365091302253293,0.00749862125641143,0.0006256117152878141,0.027520375977382067,0.00927027951982666,1,wang_robust,118
