global_rank,layer,neuron_index,layer_rank,abs_weight,entry_threshold
285053,16,3166,9230,0.0014155121,0.9836794
285054,23,9130,9430,0.0014743657,0.98367943
285055,1,12392,7577,0.002049143,0.98367949
285056,18,11191,9245,0.0014415883,0.98367996
285057,30,14019,10083,0.0011209224,0.98368036
285058,0,1237,7011,0.0092667909,0.98368062
285059,15,3317,9200,0.001456117,0.98368067
285060,25,11892,9589,0.00152561,0.98368074
285061,10,1899,8887,0.0013855598,0.98368102
285062,5,13801,7447,0.0050329985,0.98368106
285063,11,2367,8711,0.001384354,0.98368129
285064,2,12278,6800,0.0034290198,0.98368219
285065,6,1359,8805,0.001310448,0.9836827
285066,28,50,10281,0.0014927795,0.98368278
285067,12,4830,8703,0.0013292455,0.98368289
285068,3,6599,6192,0.0044074398,0.98368293
285069,20,4050,9168,0.0012933888,0.98368307
285070,27,7093,9720,0.0015289475,0.98368329
285071,24,8589,9478,0.0014619642,0.98368339
285072,21,939,9407,0.0014889841,0.9836836
285073,13,1649,8717,0.0013721038,0.98368362
285074,17,4566,9324,0.0014294148,0.98368377
285075,9,1947,8957,0.0015121286,0.98368377
285076,26,6816,8819,0.0040271301,0.98368382
285077,7,12537,8586,0.0013223854,0.98368436
285078,4,9941,9316,0.0011122331,0.98368438
285079,1,2708,7578,0.0020485988,0.98368466
285080,29,5682,10388,0.0012899168,0.98368517
285081,22,10318,9411,0.001344859,0.9836852
285082,8,2550,8808,0.0014337456,0.98368525
285083,14,495,8915,0.0014542091,0.98368537
285084,19,3567,9120,0.0013548713,0.98368577
285085,16,3411,9231,0.0014154543,0.98368593
285086,0,10092,7012,0.0092653623,0.98368626
285087,23,12650,9431,0.0014737765,0.98368634
285088,18,11989,9246,0.0014412617,0.98368656
285089,31,10491,9759,0.00063775771,0.98368664
285090,5,5715,7448,0.0050328951,0.98368671
285091,2,11358,6801,0.0034290124,0.98368708
285092,15,5243,9201,0.0014554841,0.98368717
285093,10,3724,8888,0.0013855515,0.98368721
285094,11,244,8712,0.0013842582,0.98368733
285095,25,4690,9590,0.0015254369,0.98368772
285096,3,13235,6193,0.0044074096,0.98368778
285097,30,1636,10084,0.0011208159,0.98368823
285098,6,8836,8806,0.0013103973,0.98368879
285099,12,13390,8704,0.001329243,0.98368888
285100,13,9667,8718,0.0013716944,0.98368956
285101,20,7075,9169,0.0012926172,0.98368959
285102,1,4038,7579,0.0020484803,0.98368984
285103,9,5768,8958,0.0015121113,0.98369008
285104,24,12832,9479,0.001461628,0.9836903
285105,7,4970,8587,0.0013220806,0.98369031
285106,21,4802,9408,0.0014887195,0.98369038
285107,17,8167,9325,0.0014293133,0.98369045
285108,26,10373,8820,0.0040254947,0.98369046
285109,27,5498,9721,0.0015288992,0.98369058
285110,28,7932,10282,0.0014918639,0.98369092
285111,4,13910,9317,0.0011121312,0.98369114
285112,8,978,8809,0.0014333543,0.9836914
285113,14,9757,8916,0.0014541375,0.98369157
285114,0,8687,7013,0.009263617,0.98369189
285115,2,3408,6802,0.00342779,0.98369197
285116,22,5451,9412,0.001344092,0.983692
285117,19,10164,9121,0.001354667,0.98369217
285118,5,11252,7449,0.0050325589,0.98369236
285119,16,5036,9232,0.0014150108,0.98369245
285120,3,1474,6194,0.0044054589,0.98369264
285121,18,612,9247,0.0014412046,0.98369316
285122,23,8097,9432,0.0014735925,0.98369325
285123,11,10295,8713,0.0013838297,0.98369337
285124,10,3797,8889,0.001384465,0.9836934
285125,29,1600,10389,0.0012896752,0.98369349
285126,15,7739,9202,0.0014553523,0.98369367
285127,31,8117,9760,0.00063762366,0.98369392
285128,25,11505,9591,0.001525393,0.98369469
285129,12,2226,8705,0.0013292279,0.98369487
285130,6,12107,8807,0.0013101116,0.98369489
285131,1,10887,7580,0.0020484154,0.98369501
285132,13,425,8719,0.0013716244,0.9836955
285133,30,13662,10085,0.0011200474,0.9836961
285134,20,6306,9170,0.0012925768,0.98369612
285135,7,9039,8588,0.0013219116,0.98369626
285136,9,11269,8959,0.0015120554,0.98369639
285137,2,12085,6803,0.00342717,0.98369685
285138,26,12512,8821,0.0040247808,0.98369711
285139,17,9535,9326,0.0014288417,0.98369713
285140,21,9301,9409,0.0014882128,0.98369716
285141,24,12650,9480,0.0014608903,0.98369722
285142,3,5798,6195,0.0044043143,0.9836975
285143,0,12722,7014,0.0092631234,0.98369753
285144,8,4690,8810,0.0014329697,0.98369755
285145,14,7403,8917,0.0014536781,0.98369776
285146,27,12075,9722,0.0015280457,0.98369787
285147,4,12762,9318,0.0011121196,0.98369791
285148,5,1957,7450,0.0050283046,0.98369801
285149,19,5503,9122,0.0013543912,0.98369857
285150,22,2434,9413,0.0013435514,0.9836988
285151,16,11268,9233,0.001414859,0.98369897
285152,28,8834,10283,0.0014916271,0.98369905
285153,11,13152,8714,0.0013838032,0.98369941
285154,10,11181,8890,0.0013843876,0.9836996
285155,18,1160,9248,0.0014412043,0.98369976
285156,23,3380,9433,0.0014728359,0.98370016
285157,15,6277,9203,0.0014551179,0.98370017
285158,1,6754,7581,0.0020482666,0.98370018
285159,12,5848,8706,0.0013291111,0.98370087
285160,6,5129,8808,0.0013100832,0.98370098
285161,31,12797,9761,0.00063757994,0.9837012
285162,13,12442,8720,0.001371006,0.98370143
285163,25,7974,9592,0.0015250614,0.98370167
285164,2,10945,6804,0.0034269486,0.98370174
285165,29,6290,10390,0.0012896386,0.98370181
285166,7,13831,8589,0.001321892,0.98370221
285167,3,10900,6196,0.0044031884,0.98370236
285168,20,14030,9171,0.0012924499,0.98370265
285169,9,13737,8960,0.0015120378,0.9837027
285170,0,5179,7015,0.0092599671,0.98370316
285171,5,4036,7451,0.0050251563,0.98370367
285172,8,3567,8811,0.0014322785,0.9837037
285173,26,4754,8822,0.0040244269,0.98370375
285174,17,13794,9327,0.0014288238,0.98370382
285175,21,3206,9410,0.0014882035,0.98370394
285176,14,11307,8918,0.0014529378,0.98370396
285177,30,5233,10086,0.0011195777,0.98370396
285178,24,9400,9481,0.0014599563,0.98370413
285179,4,13141,9319,0.0011118026,0.98370468
285180,19,12832,9123,0.0013537082,0.98370497
285181,27,5858,9723,0.0015278824,0.98370517
285182,1,11776,7582,0.0020475169,0.98370536
285183,11,12281,8715,0.0013828875,0.98370545
