rank,neuron_id,layer,neuron_idx,score,importance
139,455957,31,11541,0.1061154380440712,0.1061154380440712
140,445130,31,714,0.10589481890201569,0.10589481890201569
141,448005,31,3589,0.10567281395196915,0.10567281395196915
142,446965,31,2549,0.10555174201726913,0.10555174201726913
143,456642,31,12226,0.1053927019238472,0.1053927019238472
144,456224,31,11808,0.10480071604251862,0.10480071604251862
145,448244,31,3828,0.10461298376321793,0.10461298376321793
146,448227,31,3811,0.10459866374731064,0.10459866374731064
147,447252,31,2836,0.10409995913505554,0.10409995913505554
148,449664,31,5248,0.1037449762225151,0.1037449762225151
149,445876,31,1460,0.1037084311246872,0.1037084311246872
150,446229,31,1813,0.10254062712192535,0.10254062712192535
151,447216,31,2800,0.1024274006485939,0.1024274006485939
152,457960,31,13544,0.1024111658334732,0.1024111658334732
153,457255,31,12839,0.10179408639669418,0.10179408639669418
154,447909,31,3493,0.1010529026389122,0.1010529026389122
155,436703,30,6623,0.10064604133367538,0.10064604133367538
156,445602,31,1186,0.10036946088075638,0.10036946088075638
157,447668,31,3252,0.10006304085254669,0.10006304085254669
158,448677,31,4261,0.09993921965360641,0.09993921965360641
159,445316,31,900,0.09979496896266937,0.09979496896266937
160,455500,31,11084,0.09965865314006805,0.09965865314006805
161,453881,31,9465,0.09937720745801926,0.09937720745801926
162,456415,31,11999,0.09908191859722137,0.09908191859722137
163,445616,31,1200,0.09892508387565613,0.09892508387565613
164,446988,31,2572,0.09891392290592194,0.09891392290592194
165,451697,31,7281,0.09884395450353622,0.09884395450353622
166,432872,30,2792,0.09874824434518814,0.09874824434518814
167,456668,31,12252,0.09815611690282822,0.09815611690282822
168,449025,31,4609,0.09813050180673599,0.09813050180673599
169,452109,31,7693,0.0980696827173233,0.0980696827173233
170,453771,31,9355,0.09766459465026855,0.09766459465026855
171,453068,31,8652,0.09762462973594666,0.09762462973594666
172,457084,31,12668,0.09755365550518036,0.09755365550518036
173,444982,31,566,0.09718833118677139,0.09718833118677139
174,455478,31,11062,0.0971735492348671,0.0971735492348671
175,456168,31,11752,0.09711667895317078,0.09711667895317078
176,445922,31,1506,0.09688756614923477,0.09688756614923477
177,458249,31,13833,0.09623591601848602,0.09623591601848602
178,448576,31,4160,0.09607448428869247,0.09607448428869247
179,447191,31,2775,0.0959746465086937,0.0959746465086937
180,456941,31,12525,0.09585297107696533,0.09585297107696533
181,447844,31,3428,0.09557773917913437,0.09557773917913437
182,454274,31,9858,0.09545577317476273,0.09545577317476273
183,458529,31,14113,0.09493498504161835,0.09493498504161835
184,448462,31,4046,0.09480448812246323,0.09480448812246323
185,455090,31,10674,0.09466701000928879,0.09466701000928879
186,455429,31,11013,0.09444169700145721,0.09444169700145721
187,445271,31,855,0.09439139813184738,0.09439139813184738
188,444518,31,102,0.09436213225126266,0.09436213225126266
189,448768,31,4352,0.09435766935348511,0.09435766935348511
190,455495,31,11079,0.0941382497549057,0.0941382497549057
191,455556,31,11140,0.09348145127296448,0.09348145127296448
192,450188,31,5772,0.09342025965452194,0.09342025965452194
193,445811,31,1395,0.09341295808553696,0.09341295808553696
194,451030,31,6614,0.0923963263630867,0.0923963263630867
195,447999,31,3583,0.09238416701555252,0.09238416701555252
196,455501,31,11085,0.09223038703203201,0.09223038703203201
