variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,30,12446,4642,74,0.010116599200873676,0.00015912771852268442,0.00513786345969818,1,yang_harmfulness,86
rank_consensus,30,10431,4570,294,0.009959651314111577,0.0006386907058513224,0.00529917100998145,1,yang_harmfulness,87
rank_consensus,31,9692,4870,9,0.010613600842286993,1.7438654084677745e-05,0.005315519748185836,1,yang_harmfulness,88
rank_consensus,16,11992,106,4916,0.0002288823348613954,0.01071387310327389,0.005471377719067643,1,siren,89
rank_consensus,31,4358,4764,284,0.010382538675665012,0.0006168923882454752,0.005499715531955243,1,yang_harmfulness,90
rank_consensus,31,260,4975,96,0.010842483177148388,0.0002070840172555482,0.005524783597201968,1,yang_harmfulness,91
rank_consensus,31,1506,4952,193,0.01079234704665494,0.00041852769803226586,0.005605437372343603,1,yang_harmfulness,92
rank_consensus,30,1171,5049,117,0.011003790727431656,0.0002528604842278273,0.005628325605829741,1,yang_harmfulness,93
rank_consensus,31,2268,5164,162,0.011254471379898899,0.0003509529134541396,0.00580271214667652,1,yang_harmfulness,94
rank_consensus,15,3816,195,5153,0.0004228873615534353,0.011230493230532467,0.005826690296042951,1,siren,95
rank_consensus,31,1493,5220,187,0.011376541958491644,0.00040544870746875755,0.005890995332980201,1,yang_harmfulness,96
rank_consensus,31,8350,5377,86,0.011718775544903444,0.00018528569964970103,0.005952030622276573,1,yang_harmfulness,97
rank_consensus,31,13801,5354,112,0.011668639414409996,0.0002419613254249037,0.005955300369917449,1,yang_harmfulness,98
rank_consensus,27,1253,69,5402,0.00014822855971976083,0.011773271338918062,0.005960749949318911,1,siren,99
rank_consensus,31,5230,5248,226,0.011437577247788015,0.0004904621461315616,0.005964019696959789,1,yang_harmfulness,100
rank_consensus,18,922,165,5370,0.00035749240873589376,0.011703516722579351,0.006030504565657622,1,siren,101
rank_consensus,22,5031,73,5556,0.0001569478867620997,0.01210896543004811,0.006132956658405105,1,siren,102
rank_consensus,16,14185,154,5500,0.00033351425936946187,0.011986894851455364,0.006160204555412413,1,siren,103
rank_consensus,31,8154,5721,3,0.012468637670544588,4.359663521169436e-06,0.006236498667032879,1,yang_harmfulness,104
rank_consensus,31,6657,5748,52,0.012527493128080375,0.00011117141978982062,0.006319332273935098,1,yang_harmfulness,105
rank_consensus,31,1286,5432,371,0.011838666291735604,0.0008065377514163457,0.006322602021575975,1,yang_harmfulness,106
rank_consensus,30,4438,5445,386,0.011867004104623205,0.0008392352278251164,0.006353119666224161,1,yang_harmfulness,107
rank_consensus,31,9587,5824,110,0.012693160341884814,0.00023760166190373426,0.006465381001894274,1,yang_harmfulness,108
rank_consensus,31,1678,5800,326,0.01264084437963078,0.0007084453221900334,0.006674644850910407,1,yang_harmfulness,109
rank_consensus,31,4661,6112,66,0.013320951888933213,0.00014168906443800668,0.00673132047668561,1,yang_harmfulness,110
rank_consensus,30,5526,5868,418,0.01278907293935054,0.0009089898441638274,0.006849031391757184,1,yang_harmfulness,111
